ID	LEXIBANK_ID	SUBGROUP	CONCEPT	CONCEPT_IN_SOURCE	CHINESE_GLOSS	DOCULECT	DOCULECT_NAME	GLOTTOCODE	TOKENS	CONCEPTICON	COGID	TONE_CLASS	TONE_VALUE	RATLIFF_LANGUAGE	RATLIFF_TOKENS	RATLIFF_INDEX	RATLIFF_COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	STRICTID	LOOSEID	ALIGNMENT	STRUCTURE	CROSSIDS	AUTOCOGID	MORPHEMES	SPLITID	LUMPID
405	EasternLuobuohe-15_ash-1	Hmongic	ASH	ash	灰	EasternLuobuohe	Luobuohe, Eastern	luop1235	ʔ a ⁰/² + tsʰ y ⁵⁵	646	537	轻声 阴上.阳上.*阴上.*阳上	⁰/² ⁵⁵	Luopohe	tsʰ u ᴮ/²	1	2638	1 7 8 9 2 7 8	AXT_AXT	HA6_CY5	3	3.H.C 3.A.V 3.6.T 3._._ 3.C.C 3.Y.V 3.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ʔa⁰/²+tsʰy⁵⁵	0	22 21	10	2	ʔ - a ⁰/² + tsʰ y ⁵⁵	i n t + i n t	22 21	7	_ash ASH	405	2
406	WesternLuobuohe-15_ash-1	Hmongic	ASH	ash	灰	WesternLuobuohe	Luobuohe, Western	luop1235	ʔ ə ⁰/² + tsʰ u ⁵⁵	646	537	轻声 阴上.阳上.*阴平.*阴上.*阳上	⁰/² ⁵⁵	Luopohe	tsʰ u ᴮ/²	1	2638	1 7 8 9 2 7 8	AXT_AXT	HE6_CY5	10	10.H.C 10.E.V 10.6.T 10._._ 10.C.C 10.Y.V 10.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ʔə⁰/²+tsʰu⁵⁵	0	22 21	10	2	ʔ - ə ⁰/² + tsʰ u ⁵⁵	i n t + i n t	22 21	7	_ash ASH	406	2
407	SouthernGuizhouChuanqiandian-15_ash-1	Hmongic	ASH	ash	灰	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	s ɔ ²²	646	537	阴平	²²	CentralMashanHmong	s ɔ ³ᵇ/³	0	2637	3 7 8	AXT	SU1	8	8.S.C 8.U.V 8.1.T	1.6 3.0 1.0	sɔ²²	0	24	11	3	s ɔ ²²	i n t	24	10	ASH	407	2
408	WesternXiangxi-15_ash-1	Hmongic	ASH	ash	灰	WesternXiangxi	Xiangxi, West	west2430	ɕ i ⁴⁴	646	537	阴上.阴入.*阴平	⁴⁴	WesternXiangxiMiao	ɕ i ³	0	2635	3 7 8	AXT	SI5	11	11.S.C 11.I.V 11.5.T	1.6 3.0 1.0	ɕi⁴⁴	0	21	9	2	ɕ i ⁴⁴	i n t	21	7	ASH	408	2
409	NorthernQiandong-15_ash-1	Hmongic	ASH	ash	灰	NorthernQiandong	Qiandong, North	nort2747	q a ³⁵ + ɕʰ u ³⁵	646	537	阴上 阴上	³⁵ ³⁵	NorthernQiandongMiao	ɕʰ u ³	1	2634	1 7 8 9 3 7 8	AXT_AXT	KA2_SY2	7	7.K.C 7.A.V 7.2.T 7._._ 7.S.C 7.Y.V 7.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	qa³⁵+ɕʰu³⁵	0	23 21	12	2	q - a ³⁵ + ɕʰ u ³⁵	i n t + i n t	23 21	7	_ash ASH	409	2
410	WesternBaheng-15_ash-1	Hmongic	ASH	ash	灰	WesternBaheng	Baheng, West	pahn1237	q a ⁰/³ + s i ³¹	646	537	轻声 阴上	⁰/³ ³¹	PaHng	ɕ i ³	1	2640	1 7 8 9 3 7 8	AXT_AXT	KA6_SI3	9	9.K.C 9.A.V 9.6.T 9._._ 9.S.C 9.I.V 9.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	qa⁰/³+si³¹	0	23 21	12	2	q - a ⁰/³ + s i ³¹	i n t + i n t	23 21	7	_ash ASH	410	2
411	EasternBaheng-15_ash-1	Hmongic	ASH	ash	灰	EasternBaheng	Baheng, East	pahn1237	ɕ i ³¹³	646	537	阴上.*阴上	³¹³	PaHng	ɕ i ³	0	2640	3 7 8	AXT	SI6	2	2.S.C 2.I.V 2.6.T	1.6 3.0 1.0	ɕi³¹³	0	21	9	2	ɕ i ³¹³	i n t	21	7	ASH	411	2
412	Jiongnai-15_ash-1	Hmongic	ASH	ash	灰	Jiongnai	Jiongnai	jion1236	θ ei ⁵³	646	537	阴上.*阴上.*阳上	⁵³	JiongnaiBunu	θ e ³	0	2639	3 7 8	AXT	DE3	4	4.D.C 4.E.V 4.3.T	1.6 3.0 1.0	θei⁵³	0	21	9	2	θ ei ⁵³	i n t	21	7	ASH	412	2
413	Mien-15_ash-1	Mienic	ASH	ash	灰	Mien	Mien	iumi1238	s aːi ⁵³	646	537	阴上	⁵³	luMien	ɕ w ai ³	0	2641	3 7 8	AXT	SA3	6	6.S.C 6.A.V 6.3.T	1.6 3.0 1.0	saːi⁵³	0	21	9	2	s aːi ⁵³	i n t	21	7	ASH	413	2
414	KimMun-15_ash-1	Mienic	ASH	ash	灰	KimMun	Kim Mun	kimm1245	ʃ aːi ⁵¹	646	537	阴上.阳上.*阴上.*阳上	⁵¹	KimMun	s aːi ³	0	2642	3 7 8	AXT	SA3	5	5.S.C 5.A.V 5.3.T	1.6 3.0 1.0	ʃaːi⁵¹	0	21	9	2	ʃ aːi ⁵¹	i n t	21	7	ASH	414	2
415	BiaoMin-15_ash-1	Mienic	ASH	ash	灰	BiaoMin	Biao Min	biao1254	s ai ³⁵	646	537	阴上	³⁵	BiaoMon	s w ai ³	0	2643	3 7 8	AXT	SA2	1	1.S.C 1.A.V 1.2.T	1.6 3.0 1.0	sai³⁵	0	21	9	2	s ai ³⁵	i n t	21	7	ASH	415	2
416	ZaoMin-15_ash-1	Mienic	ASH	ash	灰	ZaoMin	Zao Min	dzao1238	s oi ²⁴	646	537	阴上.*阳平	²⁴	DzaoMin	s ɔi ³	0	2644	3 7 8	AXT	SU2	13	13.S.C 13.U.V 13.2.T	1.6 3.0 1.0	soi²⁴	0	21	9	2	s oi ²⁴	i n t	21	7	ASH	416	2
280	WhiteHmong-1167_toask1-1	Hmongic	ASK (INQUIRE)	to ask(1)		WhiteHmong	White Hmong	hmon1333	n u ³¹	1309	309	阳平.阳上.阳去	³¹	HmongDaw	n u ⁶/¹³	0	1610	4 7 8	AXT	NY3	12	12.N.C 12.Y.V 12.3.T	1.6 3.0 1.0	nu³¹	0	39	13	4	n u - ³¹	i n t	39	11	ASK	280	3
4671	EasternLuobuohe-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	EasternLuobuohe	Luobuohe, Eastern	luop1235	n a ²⁴	1309	309	阴去.阳去.*阴去.*阳去	²⁴	Luopohe	n a ᶜ/³	0	1612	4 7 8	AXT	NA2	3	3.N.C 3.A.V 3.2.T	1.6 3.0 1.0	na²⁴	0	39	13	4	n a - ²⁴	i n t	39	11	ASK	4671	3
4672	WesternLuobuohe-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	WesternLuobuohe	Luobuohe, Western	luop1235	n ɑ ³⁵	1309	309	阴去.阳去.*阴去.*阳去	³⁵	Luopohe	n a ᶜ/³	0	1612	4 7 8	AXT	NA2	10	10.N.C 10.A.V 10.2.T	1.6 3.0 1.0	nɑ³⁵	0	39	13	4	n ɑ - ³⁵	i n t	39	11	ASK	4672	3
4673	SouthernGuizhouChuanqiandian-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	n o ŋ ¹³	1309	309	阳去.阴入.*阴去.*阳去	¹³	CentralMashanHmong	n o ŋ ⁶/¹³	0	1611	4 7 4 8	AXLT	NUN2	8	8.N.C 8.U.V 8.N.c 8.2.T	1.6 3.0 1.1 1.0	noŋ¹³	0	39	13	4	n o ŋ ¹³	i n c t	39	11	ASK	4673	3
4674	WesternXiangxi-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	WesternXiangxi	Xiangxi, West	west2430	n e ⁴²	1309	309	0	⁴²	WesternXiangxiMiao	n e ⁶/¹³	0	1609	4 7 8	AXT	NE3	11	11.N.C 11.E.V 11.3.T	1.6 3.0 1.0	ne⁴²	0	39	13	4	n e - ⁴²	i n t	39	11	ASK	4674	3
4675	NorthernQiandong-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	NorthernQiandong	Qiandong, North	nort2747	n ɛ ¹³	1309	309	阴入.*阴去.*阳去	¹³	NorthernQiandongMiao	n ɛ ⁶/¹³	0	1608	4 7 8	AXT	NE2	7	7.N.C 7.E.V 7.2.T	1.6 3.0 1.0	nɛ¹³	0	39	13	4	n ɛ - ¹³	i n t	39	11	ASK	4675	3
4676	WesternBaheng-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	WesternBaheng	Baheng, West	pahn1237	n ei ⁴⁴	1309	309	阳去	⁴⁴	PaHng	n ɪ̃ ⁶/¹³	0	1614	4 7 8	AXT	NE5	9	9.N.C 9.E.V 9.5.T	1.6 3.0 1.0	nei⁴⁴	0	39	13	4	n ei - ⁴⁴	i n t	39	11	ASK	4676	3
4677	EasternBaheng-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	EasternBaheng	Baheng, East	pahn1237	n e ³¹	1309	309	阳去.阳入	³¹	PaHng	n ɪ̃ ⁶/¹³	0	1614	4 7 8	AXT	NE3	2	2.N.C 2.E.V 2.3.T	1.6 3.0 1.0	ne³¹	0	39	13	4	n e - ³¹	i n t	39	11	ASK	4677	3
4678	Jiongnai-832_ask-1	Hmongic	ASK (INQUIRE)	ask	问	Jiongnai	Jiongnai	jion1236	n o ¹¹	1309	309	阳去	¹¹	JiongnaiBunu	n ɔ ⁶/¹³	0	1613	4 7 8	AXT	NU1	4	4.N.C 4.U.V 4.1.T	1.6 3.0 1.0	no¹¹	0	39	13	4	n o - ¹¹	i n t	39	11	ASK	4678	3
4679	Mien-832_ask-1	Mienic	ASK (INQUIRE)	ask	问	Mien	Mien	iumi1238	n aːi ²¹	1309	313	阳去	²¹	luMien	n aːi ⁶/¹³	0	1628	4 7 8	AXT	NA3	6	6.N.C 6.A.V 6.3.T	1.6 3.0 1.0	naːi²¹	0	39	13	4	n aːi - ²¹	i n t	39	11	ASK	4679	3
4680	KimMun-832_ask-1	Mienic	ASK (INQUIRE)	ask	问	KimMun	Kim Mun	kimm1245	n aːi ⁴²	1309	313	阴去.阳去.阴入.阳入	⁴²	KimMun	n aːi ⁶/¹³	0	1629	4 7 8	AXT	NA3	5	5.N.C 5.A.V 5.3.T	1.6 3.0 1.0	naːi⁴²	0	39	13	4	n aːi - ⁴²	i n t	39	11	ASK	4680	3
4681	BiaoMin-832_ask-1	Mienic	ASK (INQUIRE)	ask	问	BiaoMin	Biao Min	biao1254	n a ⁴²	1309	313	阳上.阳去	⁴²	BiaoMon	n a ⁶/¹³	0	1630	4 7 8	AXT	NA3	1	1.N.C 1.A.V 1.3.T	1.6 3.0 1.0	na⁴²	0	39	13	4	n a - ⁴²	i n t	39	11	ASK	4681	3
4682	ZaoMin-832_ask-1	Mienic	ASK (INQUIRE)	ask	问	ZaoMin	Zao Min	dzao1238	n oi ²²	1309	313	阳去.阳入	²²	DzaoMin	n ɔi ⁶/¹³	0	1631	4 7 8	AXT	NU1	13	13.N.C 13.U.V 13.1.T	1.6 3.0 1.0	noi²²	0	39	13	4	n oi - ²²	i n t	39	11	ASK	4682	3
2750	EasternLuobuohe-476_on-1	Hmongic	ATOP	on	上边	EasternLuobuohe	Luobuohe, Eastern	luop1235	p ə ⁰/⁵ + s a ³³	57	359	轻声 阴入.阳入.*阴平	⁰/⁵ ³³	Luopohe	s a ᴬ/¹	1	1814	1 7 8 9 3 7 8	AXT_AXT	PE6_SA4	3	3.P.C 3.E.V 3.6.T 3._._ 3.S.C 3.A.V 3.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	pə⁰/⁵+sa³³	0	56 54	14	5	p ə ⁰/⁵ + s a ³³	i n t + i n t	56 54	13	_atop ATOP	2750	4
2751	WesternLuobuohe-476_on-1	Hmongic	ATOP	on	上边	WesternLuobuohe	Luobuohe, Western	luop1235	χ ə ⁵⁵ + s ɑ ³¹	57	359	阴上.阳上.*阴平.*阴上.*阳上 阴平.阳平.阴入.阳入.*阳平	⁵⁵ ³¹	Luopohe	s a ᴬ/¹	1	1814	3 7 8 9 3 7 8	AXT_AXT	GE5_SA3	10	10.G.C 10.E.V 10.5.T 10._._ 10.S.C 10.A.V 10.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	χə⁵⁵+sɑ³¹	0	64 54	15	5	χ ə ⁵⁵ + s ɑ ³¹	i n t + i n t	64 54	13	_atop ATOP	2751	4
2752	SouthernGuizhouChuanqiandian-476_on-1	Hmongic	ATOP	on	上边	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	tɕ a ŋ ¹³ + p e ¹¹	57	359	阳去.阴入.*阴去.*阳去 阳上	¹³ ¹¹	CentralMashanHmong	s a ¹ᵇ/¹	0	1813	2 7 4 8 9 1 7 8	AXLT_AXT	CAN2_PE1	8	8.C.C 8.A.V 8.N.c 8.2.T 8._._ 8.P.C 8.E.V 8.1.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tɕaŋ¹³+pe¹¹	0	62 56	16	5	tɕ a ŋ ¹³ + p e ¹¹	i n c t + i n t	62 56	15	_atop ATOP	2752	4
2753	WesternXiangxi-476_on-1	Hmongic	ATOP	on	上边	WesternXiangxi	Xiangxi, West	west2430	k ɯ ⁴⁴ + l o ⁵³	57	0	阴上.阴入.*阴平 *阴上.*阳上	⁴⁴ ⁵³	WesternXiangxiMiao				1 7 8 9 5 7 8	AXT_AXT	KI5_LU3	11	11.K.C 11.I.V 11.5.T 11._._ 11.L.C 11.U.V 11.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	kɯ⁴⁴+lo⁵³	0	53 65	17	5	k ɯ ⁴⁴ + l o ⁵³	i n t + i n t	2577 65	12	ATOP _atop	2753	4
2754	NorthernQiandong-476_on-1	Hmongic	ATOP	on	上边	NorthernQiandong	Qiandong, North	nort2747	k i ⁵⁵ + v ɛ ⁵⁵	57	0	0 0	⁵⁵ ⁵⁵	NorthernQiandongMiao				1 7 8 9 3 7 8	AXT_AXT	KI5_BE5	7	7.K.C 7.I.V 7.5.T 7._._ 7.B.C 7.E.V 7.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ki⁵⁵+vɛ⁵⁵	0	53 61	18	5	k i ⁵⁵ + v ɛ ⁵⁵	i n t + i n t	2577 61	12	ATOP _atop	2754	4
2755	WesternBaheng-476_on-1	Hmongic	ATOP	on	上边	WesternBaheng	Baheng, West	pahn1237	ʔ a ⁰/³ + w a ŋ ³³	57	0	轻声 阳平	⁰/³ ³³	PaHng				1 7 8 9 6 7 4 8	AXT_AXLT	HA6_WAN4	9	9.H.C 9.A.V 9.6.T 9._._ 9.W.C 9.A.V 9.N.c 9.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	ʔa⁰/³+waŋ³³	0	63 55	19	5	ʔ a ⁰/³ + w a ŋ ³³	i n t + i n c t	63 55	14	_atop ATOP	2755	4
2756	EasternBaheng-476_on-1	Hmongic	ATOP	on	上边	EasternBaheng	Baheng, East	pahn1237	q a ⁰/³ + w a ŋ ³³ + ɕ o ³⁵	57	0	轻声 阳平.*阳平 阴平.*阴去.*阴入.*阳入	⁰/³ ³³ ³⁵	PaHng				1 7 8 9 6 7 4 8 9 3 7 8	AXT_AXLT_AXT	KA6_WAN4_SU2	2	2.K.C 2.A.V 2.6.T 2._._ 2.W.C 2.A.V 2.N.c 2.4.T 2._._ 2.S.C 2.U.V 2.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	qa⁰/³+waŋ³³+ɕo³⁵	0	53 55 54	20	5	q a ⁰/³ + w a ŋ ³³ + ɕ o ³⁵	i n t + i n c t + i n t	2577 55 54	12	ATOP _atop _atop	2756	4
2757	Jiongnai-476_on-1	Hmongic	ATOP	on	上边	Jiongnai	Jiongnai	jion1236	ⁿtʰ j a ³⁵ + p i n ⁴⁴	57	0	阴去.*阴去.*阳去 阴平.*阴平	³⁵ ⁴⁴	JiongnaiBunu				1 6 7 8 9 1 7 4 8	ACXT_AXLT	TJA2_PIN5	4	4.T.C 4.J.C 4.A.V 4.2.T 4._._ 4.P.C 4.I.V 4.N.c 4.5.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.1 1.0	ⁿtʰja³⁵+pin⁴⁴	0	57 58	21	6	ⁿtʰ j a ³⁵ + p i n ⁴⁴	i m n t + i n c t	57 58	16	ATOP _atop	2757	4
2758	Mien-476_on-1	Mienic	ATOP	on	上边	Mien	Mien	iumi1238	k u ³¹ + ŋ aːi ²¹	57	0	阳平 阳去	³¹ ²¹	luMien				1 7 8 9 4 7 8	AXT_AXT	KY3_NA3	6	6.K.C 6.Y.V 6.3.T 6._._ 6.N.C 6.A.V 6.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ku³¹+ŋaːi²¹	0	53 60	22	5	k u ³¹ + ŋ aːi ²¹	i n t + i n t	2577 60	12	ATOP _atop	2758	4
2759	KimMun-476_on-1	Mienic	ATOP	on	上边	KimMun	Kim Mun	kimm1245	k a ⁰/² + tʃ ei ⁴²	57	0	轻声 阴去.阳去.阴入.阳入	⁰/² ⁴²	KimMun				1 7 8 9 1 7 8	AXT_AXT	KA6_TE3	5	5.K.C 5.A.V 5.6.T 5._._ 5.T.C 5.E.V 5.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ka⁰/²+tʃei⁴²	0	53 59	23	5	k a ⁰/² + tʃ ei ⁴²	i n t + i n t	2577 59	12	ATOP _atop	2759	4
2760	BiaoMin-476_on-1	Mienic	ATOP	on	上边	BiaoMin	Biao Min	biao1254	k a ⁴² + s u ³³	57	0	阳上.阳去 阴平.*阴平	⁴² ³³	BiaoMon				1 7 8 9 3 7 8	AXT_AXT	KA3_SY4	1	1.K.C 1.A.V 1.3.T 1._._ 1.S.C 1.Y.V 1.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ka⁴²+su³³	0	53 54	24	5	k a ⁴² + s u ³³	i n t + i n t	2577 54	12	ATOP _atop	2760	4
2761	ZaoMin-476_on-1	Mienic	ATOP	on	上边	ZaoMin	Zao Min	dzao1238	h o ⁴² + m i ⁵³	57	0	阴去.*阴上.*阳上 阳平.*阴去.*阳去	⁴² ⁵³	DzaoMin				3 7 8 9 4 7 8	AXT_AXT	HU3_MI3	13	13.H.C 13.U.V 13.3.T 13._._ 13.M.C 13.I.V 13.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ho⁴²+mi⁵³	0	66 67	25	7	h o ⁴² + m i ⁵³	i n t + i n t	66 67	25	ATOP _atop	2761	4
