ID	LEXIBANK_ID	SUBGROUP	CONCEPT	CONCEPT_IN_SOURCE	CHINESE_GLOSS	DOCULECT	DOCULECT_NAME	GLOTTOCODE	TOKENS	CONCEPTICON	COGID	TONE_CLASS	TONE_VALUE	RATLIFF_LANGUAGE	RATLIFF_TOKENS	RATLIFF_INDEX	RATLIFF_COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	STRICTID	LOOSEID
2752	SouthernGuizhouChuanqiandian-476_on-1	Hmongic	ATOP	on	上边	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	tɕ a ŋ ¹³ + p e ¹¹	57	359	阳去.阴入.*阴去.*阳去 阳上	¹³ ¹¹	CentralMashanHmong	s a ¹ᵇ/¹	0	1813	2 7 4 8 9 1 7 8	AXLT_AXT	CAN2_PE1	8	8.C.C 8.A.V 8.N.c 8.2.T 8._._ 8.P.C 8.E.V 8.1.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tɕaŋ¹³+pe¹¹	0	55 53	14	4
1802	SouthernGuizhouChuanqiandian-233_aubergine-1	Hmongic	AUBERGINE	aubergine	茄子	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	h u/w ei ³² + tɕ ə ¹³	1146	585	阴平 阳去.阴入.*阴去.*阳去	³² ¹³	CentralMashanHmong	tɕ əa ⁶/¹³	1	2876	3 6 7 8 9 2 7 8	ACXT_AXT	HWE3_CE2	8	8.H.C 8.W.C 8.E.V 8.3.T 8._._ 8.C.C 8.E.V 8.2.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	hu/wei³²+tɕə¹³	0	62 61	15	6
1804	NorthernQiandong-233_aubergine-1	Hmongic	AUBERGINE	aubergine	茄子	NorthernQiandong	Qiandong, North	nort2747	tɕ a ⁵⁵	1146	585	0	⁵⁵	NorthernQiandongMiao	tɕ a ²	0	2875	2 7 8	AXT	CA5	7	7.C.C 7.A.V 7.5.T	1.6 3.0 1.0	tɕa⁵⁵	0	61	16	6
1808	Mien-233_aubergine-1	Mienic	AUBERGINE	aubergine	茄子	Mien	Mien	iumi1238	tɕ e ³¹	1146	585	阳平	³¹	luMien	tɕ e ²	0	2877	2 7 8	AXT	CE3	6	6.C.C 6.E.V 6.3.T	1.6 3.0 1.0	tɕe³¹	0	61	16	6
1810	BiaoMin-233_aubergine-1	Mienic	AUBERGINE	aubergine	茄子	BiaoMin	Biao Min	biao1254	t j a ³¹	1146	585	阳平.*阳平	³¹	BiaoMon	ȶ a ²	0	2878	1 6 7 8	ACXT	TJA3	1	1.T.C 1.J.C 1.A.V 1.3.T	1.6 1.2 3.0 1.0	tja³¹	0	60	17	5
1811	ZaoMin-233_aubergine-1	Mienic	AUBERGINE	aubergine	茄子	ZaoMin	Zao Min	dzao1238	tɕ a ⁵³	1146	585	阳平.*阴去.*阳去	⁵³	DzaoMin	k j ɛ ²	0	2879	2 7 8	AXT	CA3	13	13.C.C 13.A.V 13.3.T	1.6 3.0 1.0	tɕa⁵³	0	61	16	6
157	WhiteHmong-656_theaxeax-1	Hmongic	AXE	the axe/ax		WhiteHmong	White Hmong	hmon1333	t au ¹¹	677	211	阴平.阴上.阳上.阴入	¹¹	HmongDaw	t au ⁷/³	0	1125	1 7 8	AXT	TA1	12	12.T.C 12.A.V 12.1.T	1.6 3.0 1.0	tau¹¹	0	68	18	8
2251	EasternLuobuohe-336_axe-1	Hmongic	AXE	axe	斧子	EasternLuobuohe	Luobuohe, Eastern	luop1235	ʔ a ⁰/² + t y ²⁴	677	211	轻声 阴去.阳去.*阴去.*阳去	⁰/² ²⁴	Luopohe	t u ᶜ/³	1	1127	1 7 8 9 1 7 8	AXT_AXT	HA6_TY2	3	3.H.C 3.A.V 3.6.T 3._._ 3.T.C 3.Y.V 3.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ʔa⁰/²+ty²⁴	0	69 68	19	8
2252	WesternLuobuohe-336_axe-1	Hmongic	AXE	axe	斧子	WesternLuobuohe	Luobuohe, Western	luop1235	ʔ ə ⁰/² + t u ³⁵	677	211	轻声 阴去.阳去.*阴去.*阳去	⁰/² ³⁵	Luopohe	t u ᶜ/³	1	1127	1 7 8 9 1 7 8	AXT_AXT	HE6_TY2	10	10.H.C 10.E.V 10.6.T 10._._ 10.T.C 10.Y.V 10.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ʔə⁰/²+tu³⁵	0	69 68	19	8
2253	SouthernGuizhouChuanqiandian-336_axe-1	Hmongic	AXE	axe	斧子	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	t ɔ ⁵⁵	677	211	阴去.*阴平	⁵⁵	CentralMashanHmong	t ɔ ⁵ᵃ/⁵	0	1126	1 7 8	AXT	TU5	8	8.T.C 8.U.V 8.5.T	1.6 3.0 1.0	tɔ⁵⁵	0	68	18	8
2254	WesternXiangxi-336_axe-1	Hmongic	AXE	axe	斧子	WesternXiangxi	Xiangxi, West	west2430	q o ³⁵ + t ɔ ⁵³	677	211	阴平 *阴上.*阳上	³⁵ ⁵³	WesternXiangxiMiao	t ɔ ⁵	1	1124	1 7 8 9 1 7 8	AXT_AXT	KU2_TU3	11	11.K.C 11.U.V 11.2.T 11._._ 11.T.C 11.U.V 11.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	qo³⁵+tɔ⁵³	0	70 68	20	8
2255	NorthernQiandong-336_axe-1	Hmongic	AXE	axe	斧子	NorthernQiandong	Qiandong, North	nort2747	t o ⁴⁴	677	211	阴去	⁴⁴	NorthernQiandongMiao	t o ⁵	0	1123	1 7 8	AXT	TU5	7	7.T.C 7.U.V 7.5.T	1.6 3.0 1.0	to⁴⁴	0	68	18	8
2256	WesternBaheng-336_axe-1	Hmongic	AXE	axe	斧子	WesternBaheng	Baheng, West	pahn1237	t ei ⁵⁵	677	211	阴去	⁵⁵	PaHng	t i ⁵	0	1129	1 7 8	AXT	TE5	9	9.T.C 9.E.V 9.5.T	1.6 3.0 1.0	tei⁵⁵	0	68	18	8
2257	EasternBaheng-336_axe-1	Hmongic	AXE	axe	斧子	EasternBaheng	Baheng, East	pahn1237	t i ⁵⁵	677	211	阴去.*阴平	⁵⁵	PaHng	t i ⁵	0	1129	1 7 8	AXT	TI5	2	2.T.C 2.I.V 2.5.T	1.6 3.0 1.0	ti⁵⁵	0	68	18	8
2258	Jiongnai-336_axe-1	Hmongic	AXE	axe	斧子	Jiongnai	Jiongnai	jion1236	ð ei ³⁵	677	211	阴去.*阴去.*阳去	³⁵	JiongnaiBunu	ð ei ⁵	0	1128	3 7 8	AXT	DE2	4	4.D.C 4.E.V 4.2.T	1.6 3.0 1.0	ðei³⁵	0	68	18	8
2259	Mien-336_axe-1	Mienic	AXE	axe	斧子	Mien	Mien	iumi1238	p əu ⁵³	677	16	阴上	⁵³	luMien	p ou ³	0	92	1 7 8	AXT	PE3	6	6.P.C 6.E.V 6.3.T	1.6 3.0 1.0	pəu⁵³	0	67	21	7
2260	KimMun-336_axe-1	Mienic	AXE	axe	斧子	KimMun	Kim Mun	kimm1245	ˀp oːu ⁵¹	677	16	阴上.阳上.*阴上.*阳上	⁵¹	KimMun	p ɔu ³	0	93	1 7 8	AXT	PU3	5	5.P.C 5.U.V 5.3.T	1.6 3.0 1.0	ˀpoːu⁵¹	0	67	21	7
2261	BiaoMin-336_axe-1	Mienic	AXE	axe	斧子	BiaoMin	Biao Min	biao1254	b əu ³⁵	677	16	阴上	³⁵	BiaoMon	b əu ³	0	94	1 7 8	AXT	PE2	1	1.P.C 1.E.V 1.2.T	1.6 3.0 1.0	bəu³⁵	0	67	21	7
2262	ZaoMin-336_axe-1	Mienic	AXE	axe	斧子	ZaoMin	Zao Min	dzao1238	b u ²⁴	677	16	阴上.*阳平	²⁴	DzaoMin	p u ³	0	95	1 7 8	AXT	PY2	13	13.P.C 13.Y.V 13.2.T	1.6 3.0 1.0	bu²⁴	0	67	21	7
270	WhiteHmong-1088_bad-1	Hmongic	BAD	bad		WhiteHmong	White Hmong	hmon1333	pʰ e ²¹³	1292	38	阳上	²¹³	HmongDaw	p u/w a ⁴	0	190	1 7 8	AXT	PE6	12	12.P.C 12.E.V 12.6.T	1.6 3.0 1.0	pʰe²¹³	0	88	22	11
3397	EasternLuobuohe-595_bad-1	Hmongic	BAD	bad	坏	EasternLuobuohe	Luobuohe, Eastern	luop1235	t ə ⁰/² + ts a ⁵⁵	1292	38	轻声 阴上.阳上.*阴上.*阳上	⁰/² ⁵⁵	Luopohe	v u ᴮ/²	0	192	1 7 8 9 2 7 8	AXT_AXT	TE6_CA5	3	3.T.C 3.E.V 3.6.T 3._._ 3.C.C 3.A.V 3.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	tə⁰/²+tsa⁵⁵	0	84 85	23	9
3398	WesternLuobuohe-595_bad-1	Hmongic	BAD	bad	坏	WesternLuobuohe	Luobuohe, Western	luop1235	t ə ⁰/² + ts ɑ ⁵⁵	1292	38	轻声 阴上.阳上.*阴平.*阴上.*阳上	⁰/² ⁵⁵	Luopohe	v u ᴮ/²	0	192	1 7 8 9 2 7 8	AXT_AXT	TE6_CA5	10	10.T.C 10.E.V 10.6.T 10._._ 10.C.C 10.A.V 10.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	tə⁰/²+tsɑ⁵⁵	0	84 85	23	9
3399	SouthernGuizhouChuanqiandian-595_bad-1	Hmongic	BAD	bad	坏	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	p ə ¹¹	1292	38	阳上	¹¹	CentralMashanHmong	p əa ⁴	0	191	1 7 8	AXT	PE1	8	8.P.C 8.E.V 8.1.T	1.6 3.0 1.0	pə¹¹	0	88	22	11
3400	WesternXiangxi-595_bad-1	Hmongic	BAD	bad	坏	WesternXiangxi	Xiangxi, West	west2430	tɕ ɑ ⁴⁴	1292	38	阴上.阴入.*阴平	⁴⁴	WesternXiangxiMiao	p ɑ ⁴	0	189	2 7 8	AXT	CA5	11	11.C.C 11.A.V 11.5.T	1.6 3.0 1.0	tɕɑ⁴⁴	0	85	24	9
