ID	LEXIBANK_ID	SUBGROUP	ID_IN_SOURCE	CONCEPT	CONCEPT_IN_SOURCE	CHINESE_GLOSS	DOCULECT	DOCULECT_NAME	GLOTTOCODE	TOKENS	CONCEPTICON	CONCEPTICON_ID	COGID	TONE_CLASS	TONE_VALUE	CLASSIFICATION	RATLIFF_FORM	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
1576	KimMun-193_ant-1	Mienic		ANT	ant		KimMun	Kim Mun	kimm1245	ʃ eu ⁵¹	587		610	上声.清.气	⁵¹	Kim Mun	s ɔu ³	3 7 8	AXT	SE3	5	5.S.C 5.E.V 5.3.T	1.6 3.0 1.0	ʃeu⁵¹	0	1
1577	BiaoMin-193_ant-1	Mienic		ANT	ant		BiaoMin	Biao Min	biao1254	s au ³⁵	587		610	阴上	³⁵	Biao Min	s au ³	3 7 8	AXT	SA2	1	1.S.C 1.A.V 1.2.T	1.6 3.0 1.0	sau³⁵	0	1
1578	ZaoMin-193_ant-1	Mienic		ANT	ant		ZaoMin	Zao Min	dzao1238	ʑ u ²⁴	587		610	阴上	²⁴	Zao Min	dz i/j u ³	3 7 8	AXT	SY2	13	13.S.C 13.Y.V 13.2.T	1.6 3.0 1.0	ʑu²⁴	0	1
14	WhiteHmong-63_theash-1			ASH	the ash		WhiteHmong	White Hmong	hmon1333	tʃʰ au ˧˦/³⁴	646		537	˧˦	˧˦/³⁴	White Hmong	ʈʂʰ au ³	1 7 8	AXT	TA2	12	12.T.C 12.A.V 12.2.T	1.6 3.0 1.0	tʃʰau˧˦/³⁴	0	21
408	EasternLuobuohe-15_ash-1	Hmongic		ASH	ash		EasternLuobuohe	Luobuohe, Eastern	luop1235	ʔ a ⁰/² + tsʰ y ⁵⁵	646		537	? 上	⁰/² ⁵⁵	Luopohe	tsʰ u ᴮ/²	1 7 8 9 2 7 8	AXT_AXT	HA6_CY5	3	3.H.C 3.A.V 3.6.T 3._._ 3.C.C 3.Y.V 3.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ʔa⁰/²+tsʰy⁵⁵	0	22 21
409	WesternLuobuohe-15_ash-1	Hmongic		ASH	ash		WesternLuobuohe	Luobuohe, Western	luop1235	ʔ ə ⁰/² + tsʰ u ⁵⁵	646		537	? 去	⁰/² ⁵⁵	Luopohe	tsʰ u ᴮ/²	1 7 8 9 2 7 8	AXT_AXT	HE6_CY5	10	10.H.C 10.E.V 10.6.T 10._._ 10.C.C 10.Y.V 10.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ʔə⁰/²+tsʰu⁵⁵	0	22 21
410	SouthernGuizhouChuanqiandian-15_ash-1	Hmongic		ASH	ash		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	s ɔ ²²	646		537	阳去	²²	Southern Chuanqiandian	s ɔ ³ᵇ/³	3 7 8	AXT	SU1	8	8.S.C 8.U.V 8.1.T	1.6 3.0 1.0	sɔ²²	0	21
411	WesternXiangxi-15_ash-1	Hmongic		ASH	ash		WesternXiangxi	Xiangxi, West	west2430	ɕ i ⁴⁴	646		537	阴上.阴入	⁴⁴	Western Xiangxi	ɕ i ³	3 7 8	AXT	SI5	11	11.S.C 11.I.V 11.5.T	1.6 3.0 1.0	ɕi⁴⁴	0	21
412	NorthernQiandong-15_ash-1	Hmongic		ASH	ash		NorthernQiandong	Qiandong, North	nort2747	q a ³⁵ + ɕʰ u ³⁵	646		537	阴上 阴上	³⁵ ³⁵	Northern Qiandong	ɕʰ u ³	1 7 8 9 3 7 8	AXT_AXT	KA2_SY2	7	7.K.C 7.A.V 7.2.T 7._._ 7.S.C 7.Y.V 7.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	qa³⁵+ɕʰu³⁵	0	23 21
413	WesternBaheng-15_ash-1	Hmongic		ASH	ash		WesternBaheng	Baheng, West	pahn1237	q a ⁰/³ + s i ³¹	646		537	? 阴上	⁰/³ ³¹	Baheng	ɕ i ³	1 7 8 9 3 7 8	AXT_AXT	KA6_SI3	9	9.K.C 9.A.V 9.6.T 9._._ 9.S.C 9.I.V 9.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	qa⁰/³+si³¹	0	23 21
414	EasternBaheng-15_ash-1	Hmongic		ASH	ash		EasternBaheng	Baheng, East	pahn1237	ɕ i ³¹³	646		537	阴上	³¹³	Baheng	ɕ i ³	3 7 8	AXT	SI6	2	2.S.C 2.I.V 2.6.T	1.6 3.0 1.0	ɕi³¹³	0	21
415	Jiongnai-15_ash-1	Hmongic		ASH	ash		Jiongnai	Jiongnai	jion1236	θ ei ⁵³	646		537	阴上	⁵³	Jiongnai	θ e ³	3 7 8	AXT	DE3	4	4.D.C 4.E.V 4.3.T	1.6 3.0 1.0	θei⁵³	0	21
416	Mien-15_ash-1	Mienic		ASH	ash		Mien	Mien	iumi1238	s aːi ⁵³	646		537	阴上	⁵³	Mien	ɕ w ai ³	3 7 8	AXT	SA3	6	6.S.C 6.A.V 6.3.T	1.6 3.0 1.0	saːi⁵³	0	21
417	KimMun-15_ash-1	Mienic		ASH	ash		KimMun	Kim Mun	kimm1245	ʃ aːi ⁵¹	646		537	上声.清.气	⁵¹	Kim Mun	s aːi ³	3 7 8	AXT	SA3	5	5.S.C 5.A.V 5.3.T	1.6 3.0 1.0	ʃaːi⁵¹	0	21
418	BiaoMin-15_ash-1	Mienic		ASH	ash		BiaoMin	Biao Min	biao1254	s ai ³⁵	646		537	阴上	³⁵	Biao Min	s w ai ³	3 7 8	AXT	SA2	1	1.S.C 1.A.V 1.2.T	1.6 3.0 1.0	sai³⁵	0	21
419	ZaoMin-15_ash-1	Mienic		ASH	ash		ZaoMin	Zao Min	dzao1238	s oi ²⁴	646		537	阴上	²⁴	Zao Min	s ɔi ³	3 7 8	AXT	SU2	13	13.S.C 13.U.V 13.2.T	1.6 3.0 1.0	soi²⁴	0	21
283	WhiteHmong-1167_toask1-1			ASK (INQUIRE)	to ask(1)		WhiteHmong	White Hmong	hmon1333	n u ˧˩/³¹	1309		309	˧˩	˧˩/³¹	White Hmong	n u ⁶/¹³	4 7 8	AXT	NY3	12	12.N.C 12.Y.V 12.3.T	1.6 3.0 1.0	nu˧˩/³¹	0	39
4674	EasternLuobuohe-832_ask-1	Hmongic		ASK (INQUIRE)	ask		EasternLuobuohe	Luobuohe, Eastern	luop1235	n a ²⁴	1309		309	去	²⁴	Luopohe	n a ᶜ/³	4 7 8	AXT	NA2	3	3.N.C 3.A.V 3.2.T	1.6 3.0 1.0	na²⁴	0	39
4675	WesternLuobuohe-832_ask-1	Hmongic		ASK (INQUIRE)	ask		WesternLuobuohe	Luobuohe, Western	luop1235	n ɑ ³⁵	1309		309	入	³⁵	Luopohe	n a ᶜ/³	4 7 8	AXT	NA2	10	10.N.C 10.A.V 10.2.T	1.6 3.0 1.0	nɑ³⁵	0	39
4676	SouthernGuizhouChuanqiandian-832_ask-1	Hmongic		ASK (INQUIRE)	ask		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	n o ŋ ¹³	1309		309	阴上	¹³	Southern Chuanqiandian	n o ŋ ⁶/¹³	4 7 4 8	AXLT	NUN2	8	8.N.C 8.U.V 8.N.c 8.2.T	1.6 3.0 1.1 1.0	noŋ¹³	0	39
4677	WesternXiangxi-832_ask-1	Hmongic		ASK (INQUIRE)	ask		WesternXiangxi	Xiangxi, West	west2430	n e ⁴²	1309		309	?	⁴²	Western Xiangxi	n e ⁶/¹³	4 7 8	AXT	NE3	11	11.N.C 11.E.V 11.3.T	1.6 3.0 1.0	ne⁴²	0	39
4678	NorthernQiandong-832_ask-1	Hmongic		ASK (INQUIRE)	ask		NorthernQiandong	Qiandong, North	nort2747	n ɛ ¹³	1309		309	阴入	¹³	Northern Qiandong	n ɛ ⁶/¹³	4 7 8	AXT	NE2	7	7.N.C 7.E.V 7.2.T	1.6 3.0 1.0	nɛ¹³	0	39
4679	WesternBaheng-832_ask-1	Hmongic		ASK (INQUIRE)	ask		WesternBaheng	Baheng, West	pahn1237	n ei ⁴⁴	1309		309	阳去	⁴⁴	Baheng	n ɪ̃ ⁶/¹³	4 7 8	AXT	NE5	9	9.N.C 9.E.V 9.5.T	1.6 3.0 1.0	nei⁴⁴	0	39
4680	EasternBaheng-832_ask-1	Hmongic		ASK (INQUIRE)	ask		EasternBaheng	Baheng, East	pahn1237	n e ³¹	1309		309	阳去.阳入	³¹	Baheng	n ɪ̃ ⁶/¹³	4 7 8	AXT	NE3	2	2.N.C 2.E.V 2.3.T	1.6 3.0 1.0	ne³¹	0	39
4681	Jiongnai-832_ask-1	Hmongic		ASK (INQUIRE)	ask		Jiongnai	Jiongnai	jion1236	n o ¹¹	1309		309	阳去	¹¹	Jiongnai	n ɔ ⁶/¹³	4 7 8	AXT	NU1	4	4.N.C 4.U.V 4.1.T	1.6 3.0 1.0	no¹¹	0	39
4682	Mien-832_ask-1	Mienic		ASK (INQUIRE)	ask		Mien	Mien	iumi1238	n aːi ²¹	1309		313	阳去	²¹	Mien	n aːi ⁶/¹³	4 7 8	AXT	NA3	6	6.N.C 6.A.V 6.3.T	1.6 3.0 1.0	naːi²¹	0	39
4683	KimMun-832_ask-1	Mienic		ASK (INQUIRE)	ask		KimMun	Kim Mun	kimm1245	n aːi ⁴²	1309		313	去声.浊.入声.浊	⁴²	Kim Mun	n aːi ⁶/¹³	4 7 8	AXT	NA3	5	5.N.C 5.A.V 5.3.T	1.6 3.0 1.0	naːi⁴²	0	39
4684	BiaoMin-832_ask-1	Mienic		ASK (INQUIRE)	ask		BiaoMin	Biao Min	biao1254	n a ⁴²	1309		313	阳上.阳去	⁴²	Biao Min	n a ⁶/¹³	4 7 8	AXT	NA3	1	1.N.C 1.A.V 1.3.T	1.6 3.0 1.0	na⁴²	0	39
4685	ZaoMin-832_ask-1	Mienic		ASK (INQUIRE)	ask		ZaoMin	Zao Min	dzao1238	n oi ²²	1309		313	阳去.阳入	²²	Zao Min	n ɔi ⁶/¹³	4 7 8	AXT	NU1	13	13.N.C 13.U.V 13.1.T	1.6 3.0 1.0	noi²²	0	39
2753	EasternLuobuohe-476_on-1	Hmongic		ATOP	on		EasternLuobuohe	Luobuohe, Eastern	luop1235	p ə ⁰/⁵ + s a ³³	57		359	? 入	⁰/⁵ ³³	Luopohe	s a ᴬ/¹	1 7 8 9 3 7 8	AXT_AXT	PE6_SA4	3	3.P.C 3.E.V 3.6.T 3._._ 3.S.C 3.A.V 3.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	pə⁰/⁵+sa³³	0	56 54
2754	WesternLuobuohe-476_on-1	Hmongic		ATOP	on		WesternLuobuohe	Luobuohe, Western	luop1235	χ ə ⁵⁵ + s ɑ ³¹	57		359	去 平.上	⁵⁵ ³¹	Luopohe	s a ᴬ/¹	3 7 8 9 3 7 8	AXT_AXT	GE5_SA3	10	10.G.C 10.E.V 10.5.T 10._._ 10.S.C 10.A.V 10.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	χə⁵⁵+sɑ³¹	0	53 54
2755	SouthernGuizhouChuanqiandian-476_on-1	Hmongic		ATOP	on		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	tɕ a ŋ ¹³ + p e ¹¹	57		359	阴上 ?	¹³ ¹¹	Southern Chuanqiandian	s a ¹ᵇ/¹	2 7 4 8 9 1 7 8	AXLT_AXT	CAN2_PE1	8	8.C.C 8.A.V 8.N.c 8.2.T 8._._ 8.P.C 8.E.V 8.1.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tɕaŋ¹³+pe¹¹	0	61 56
2756	WesternXiangxi-476_on-1	Hmongic		ATOP	on		WesternXiangxi	Xiangxi, West	west2430	k ɯ ⁴⁴ + l o ⁵³	57		0	阴上.阴入 ?	⁴⁴ ⁵³	Western Xiangxi		1 7 8 9 5 7 8	AXT_AXT	KI5_LU3	11	11.K.C 11.I.V 11.5.T 11._._ 11.L.C 11.U.V 11.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	kɯ⁴⁴+lo⁵³	0	53 63
2757	NorthernQiandong-476_on-1	Hmongic		ATOP	on		NorthernQiandong	Qiandong, North	nort2747	k i ⁵⁵ + v ɛ ⁵⁵	57		0	? ?	⁵⁵ ⁵⁵	Northern Qiandong		1 7 8 9 3 7 8	AXT_AXT	KI5_BE5	7	7.K.C 7.I.V 7.5.T 7._._ 7.B.C 7.E.V 7.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ki⁵⁵+vɛ⁵⁵	0	53 60
2758	WesternBaheng-476_on-1	Hmongic		ATOP	on		WesternBaheng	Baheng, West	pahn1237	ʔ a ⁰/³ + w a ŋ ³³	57		0	? 阳平	⁰/³ ³³	Baheng		1 7 8 9 6 7 4 8	AXT_AXLT	HA6_WAN4	9	9.H.C 9.A.V 9.6.T 9._._ 9.W.C 9.A.V 9.N.c 9.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	ʔa⁰/³+waŋ³³	0	62 55
2759	EasternBaheng-476_on-1	Hmongic		ATOP	on		EasternBaheng	Baheng, East	pahn1237	q a ⁰/³ + w a ŋ ³³ + ɕ o ³⁵	57		0	? 阳平 阴平	⁰/³ ³³ ³⁵	Baheng		1 7 8 9 6 7 4 8 9 3 7 8	AXT_AXLT_AXT	KA6_WAN4_SU2	2	2.K.C 2.A.V 2.6.T 2._._ 2.W.C 2.A.V 2.N.c 2.4.T 2._._ 2.S.C 2.U.V 2.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	qa⁰/³+waŋ³³+ɕo³⁵	0	53 55 54
2760	Jiongnai-476_on-1	Hmongic		ATOP	on		Jiongnai	Jiongnai	jion1236	ⁿtʰ j a ³⁵ + p i n ⁴⁴	57		0	阴去 阴平	³⁵ ⁴⁴	Jiongnai		1 6 7 8 9 1 7 4 8	ACXT_AXLT	TJA2_PIN5	4	4.T.C 4.J.C 4.A.V 4.2.T 4._._ 4.P.C 4.I.V 4.N.c 4.5.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.1 1.0	ⁿtʰja³⁵+pin⁴⁴	0	57 58
2761	Mien-476_on-1	Mienic		ATOP	on		Mien	Mien	iumi1238	k u ³¹ + ŋ aːi ²¹	57		0	阳平 阳去	³¹ ²¹	Mien		1 7 8 9 4 7 8	AXT_AXT	KY3_NA3	6	6.K.C 6.Y.V 6.3.T 6._._ 6.N.C 6.A.V 6.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ku³¹+ŋaːi²¹	0	53 59
2762	KimMun-476_on-1	Mienic		ATOP	on		KimMun	Kim Mun	kimm1245	k a ⁰/² + tʃ ei ⁴²	57		0	? 去声.浊.入声.浊	⁰/² ⁴²	Kim Mun		1 7 8 9 1 7 8	AXT_AXT	KA6_TE3	5	5.K.C 5.A.V 5.6.T 5._._ 5.T.C 5.E.V 5.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ka⁰/²+tʃei⁴²	0	53 57
2763	BiaoMin-476_on-1	Mienic		ATOP	on		BiaoMin	Biao Min	biao1254	k a ⁴² + s u ³³	57		0	阳上.阳去 阴平	⁴² ³³	Biao Min		1 7 8 9 3 7 8	AXT_AXT	KA3_SY4	1	1.K.C 1.A.V 1.3.T 1._._ 1.S.C 1.Y.V 1.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ka⁴²+su³³	0	53 54
2764	ZaoMin-476_on-1	Mienic		ATOP	on		ZaoMin	Zao Min	dzao1238	h o ⁴² + m i ⁵³	57		0	阴去 阳平	⁴² ⁵³	Zao Min		3 7 8 9 4 7 8	AXT_AXT	HU3_MI3	13	13.H.C 13.U.V 13.3.T 13._._ 13.M.C 13.I.V 13.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ho⁴²+mi⁵³	0	54 64
1803	EasternLuobuohe-233_aubergine-1	Hmongic		AUBERGINE	aubergine		EasternLuobuohe	Luobuohe, Eastern	luop1235	ʔ a ⁰/² + q l ei ²⁴ + ʑ a ŋ ³¹	1146		0	? 去 平	⁰/² ²⁴ ³¹	Luopohe		1 7 8 9 1 5 7 8 9 3 7 4 8	AXT_ACXT_AXLT	HA6_KLE2_SAN3	3	3.H.C 3.A.V 3.6.T 3._._ 3.K.C 3.L.C 3.E.V 3.2.T 3._._ 3.S.C 3.A.V 3.N.c 3.3.T	1.6 3.0 1.0 0.0 1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.1 1.0	ʔa⁰/²+qlei²⁴+ʑaŋ³¹	0	81 82 79
1804	WesternLuobuohe-233_aubergine-1	Hmongic		AUBERGINE	aubergine		WesternLuobuohe	Luobuohe, Western	luop1235	q o ⁰/⁵ + ʑ ɑ ŋ ³¹ + q ɑ ŋ ⁵⁵	1146		0	? 平.上 去	⁰/⁵ ³¹ ⁵⁵	Luopohe		1 7 8 9 3 7 4 8 9 1 7 4 8	AXT_AXLT_AXLT	KU6_SAN3_KAN5	10	10.K.C 10.U.V 10.6.T 10._._ 10.S.C 10.A.V 10.N.c 10.3.T 10._._ 10.K.C 10.A.V 10.N.c 10.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.1 1.0	qo⁰/⁵+ʑɑŋ³¹+qɑŋ⁵⁵	0	85 79 83
1805	SouthernGuizhouChuanqiandian-233_aubergine-1	Hmongic		AUBERGINE	aubergine		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	h u/w ei ³² + tɕ ə ¹³	1146		585	? 阴上	³² ¹³	Southern Chuanqiandian	tɕ əa ⁶/¹³	3 6 7 8 9 2 7 8	ACXT_AXT	HWE3_CE2	8	8.H.C 8.W.C 8.E.V 8.3.T 8._._ 8.C.C 8.E.V 8.2.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	hu/wei³²+tɕə¹³	0	83 80
1806	WesternXiangxi-233_aubergine-1	Hmongic		AUBERGINE	aubergine		WesternXiangxi	Xiangxi, West	west2430	k w ɑ ŋ ⁵⁵	1146		0	?	⁵⁵	Western Xiangxi		1 6 7 4 8	ACXLT	KWAN5	11	11.K.C 11.W.C 11.A.V 11.N.c 11.5.T	1.6 1.2 3.0 1.1 1.0	kwɑŋ⁵⁵	0	83
1807	NorthernQiandong-233_aubergine-1	Hmongic		AUBERGINE	aubergine		NorthernQiandong	Qiandong, North	nort2747	tɕ a ⁵⁵	1146		585	?	⁵⁵	Northern Qiandong	tɕ a ²	2 7 8	AXT	CA5	7	7.C.C 7.A.V 7.5.T	1.6 3.0 1.0	tɕa⁵⁵	0	80
1808	WesternBaheng-233_aubergine-1	Hmongic		AUBERGINE	aubergine		WesternBaheng	Baheng, West	pahn1237	t j ei ³¹ + tɕ ei ⁵⁵	1146		0	阴上 阴去	³¹ ⁵⁵	Baheng		1 6 7 8 9 2 7 8	ACXT_AXT	TJE3_CE5	9	9.T.C 9.J.C 9.E.V 9.3.T 9._._ 9.C.C 9.E.V 9.5.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	tjei³¹+tɕei⁵⁵	0	79 80
1809	EasternBaheng-233_aubergine-1	Hmongic		AUBERGINE	aubergine		EasternBaheng	Baheng, East	pahn1237	p j ei ³¹³ + ts ei ⁵⁵	1146		0	阴上 阴去	³¹³ ⁵⁵	Baheng		1 6 7 8 9 2 7 8	ACXT_AXT	PJE6_CE5	2	2.P.C 2.J.C 2.E.V 2.6.T 2._._ 2.C.C 2.E.V 2.5.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	pjei³¹³+tsei⁵⁵	0	79 80
1810	Jiongnai-233_aubergine-1	Hmongic		AUBERGINE	aubergine		Jiongnai	Jiongnai	jion1236	k w ei ⁴⁴ + k a ¹¹ + ð au ¹¹	1146		0	阴平 阳去 阳去	⁴⁴ ¹¹ ¹¹	Jiongnai		1 6 7 8 9 1 7 8 9 3 7 8	ACXT_AXT_AXT	KWE5_KA1_DA1	4	4.K.C 4.W.C 4.E.V 4.5.T 4._._ 4.K.C 4.A.V 4.1.T 4._._ 4.D.C 4.A.V 4.1.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	kwei⁴⁴+ka¹¹+ðau¹¹	0	83 82 84
1811	Mien-233_aubergine-1	Mienic		AUBERGINE	aubergine		Mien	Mien	iumi1238	tɕ e ³¹	1146		585	阳平	³¹	Mien	tɕ e ²	2 7 8	AXT	CE3	6	6.C.C 6.E.V 6.3.T	1.6 3.0 1.0	tɕe³¹	0	80
1812	KimMun-233_aubergine-1	Mienic		AUBERGINE	aubergine		KimMun	Kim Mun	kimm1245	k w a ³¹ + d j a ŋ ⁵¹	1146		0	上声.浊.去声.气 上声.清.气	³¹ ⁵¹	Kim Mun		1 6 7 8 9 1 6 7 4 8	ACXT_ACXLT	KWA3_TJAN3	5	5.K.C 5.W.C 5.A.V 5.3.T 5._._ 5.T.C 5.J.C 5.A.V 5.N.c 5.3.T	1.6 1.2 3.0 1.0 0.0 1.6 1.2 3.0 1.1 1.0	kwa³¹+djaŋ⁵¹	0	83 79
1813	BiaoMin-233_aubergine-1	Mienic		AUBERGINE	aubergine		BiaoMin	Biao Min	biao1254	t j a ³¹	1146		585	阳平	³¹	Biao Min	ȶ a ²	1 6 7 8	ACXT	TJA3	1	1.T.C 1.J.C 1.A.V 1.3.T	1.6 1.2 3.0 1.0	tja³¹	0	79
1814	ZaoMin-233_aubergine-1	Mienic		AUBERGINE	aubergine		ZaoMin	Zao Min	dzao1238	tɕ a ⁵³	1146		585	阳平	⁵³	Zao Min	k j ɛ ²	2 7 8	AXT	CA3	13	13.C.C 13.A.V 13.3.T	1.6 3.0 1.0	tɕa⁵³	0	80
160	WhiteHmong-656_theaxeax-1			AXE	the axe/ax		WhiteHmong	White Hmong	hmon1333	t au ˩/¹¹	677		211	˩	˩/¹¹	White Hmong	t au ⁷/³	1 7 8	AXT	TA1	12	12.T.C 12.A.V 12.1.T	1.6 3.0 1.0	tau˩/¹¹	0	103
2254	EasternLuobuohe-336_axe-1	Hmongic		AXE	axe		EasternLuobuohe	Luobuohe, Eastern	luop1235	ʔ a ⁰/² + t y ²⁴	677		211	? 去	⁰/² ²⁴	Luopohe	t u ᶜ/³	1 7 8 9 1 7 8	AXT_AXT	HA6_TY2	3	3.H.C 3.A.V 3.6.T 3._._ 3.T.C 3.Y.V 3.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	ʔa⁰/²+ty²⁴	0	104 103
