ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS	RATLIFF_COGID	RATLIFF_TOKENS	TONE_CLASS	TONE_VALUE	CROSSIDS	NOTE
299	SouthernGuizhouChuanqiandian	STAR	star			h o ŋ ³²	STAR	769	5509	769	h o ŋ ¹ᵃ/¹	阴平	³²	5509	
300	WesternXiangxi	STAR	star			t e ³⁵ + t e ³⁵ + q e ³⁵ + ɬ ɑ ⁵³	_star _star STAR _star	769	5511 5513 5509 5510	769	q e ¹	阴平 阴平 阴平 *阴上.*阳上	³⁵ ³⁵ ³⁵ ⁵³	1004 5513 5509 5510	
301	NorthernQiandong	STAR	star			t ɛ ³³ + q ɛ ³³	_star STAR	769	5511 5509	769	q ɛ ¹	阴平.*阴平 阴平.*阴平	³³ ³³	1004 5509	
302	WesternBaheng	STAR	star			q a ⁰/³ + q a ŋ ³⁵	_star STAR	769	5512 5509	769	k ɔ̃ ¹	轻声 阴平	⁰/³ ³⁵	5512 5509	
303	EasternBaheng	STAR	star			l a ⁰/³ + q a ŋ ³⁵	_star STAR	769	5510 5509	769	k ɔ̃ ¹	轻声 阴平.*阴去.*阴入.*阳入	⁰/³ ³⁵	5510 5509	
304	Jiongnai	STAR	star			k a ³³ + ⁿt e ŋ ⁴⁴	STAR _star	769	5509 5509	769	k a ¹	阳平 阴平.*阴平	³³ ⁴⁴	5509 1004	
305	Mien	STAR	star			ɬ ei ²⁴	STAR	22	5510			阴去	²⁴	5510	
306	KimMun	STAR	star			t iː ŋ ³⁵	STAR	19	5511			阴平.阳平.阴入.阳入	³⁵	1004	
307	BiaoMin	STAR	star			ɕ ɛ ³³ + ts a ŋ ³⁵	_star STAR	20	5508 9			阴平.*阴平 阴上	³³ ³⁵	5508 5509	
308	ZaoMin	STAR	star			h u t ⁴⁴ + n e ŋ ⁴⁴	STAR _star	23	5515 5516			阴平.阳上.阴入.*阴平 阴平.阳上.阴入.*阴平	⁴⁴ ⁴⁴	5515 5516	
4	WhiteHmong	LIGHTNING	the lightning			s o ⁵⁵ + l ai ²¹³	_LIGHTNING lightning	411	3490 3491	411	l ai ⁸/²⁴	阴平 阳上	⁵⁵ ²¹³	6055 3491	
5	WhiteHmong	LIGHTNING	the lightning			s o ⁵⁵ + ⁿtʃ ai ¹¹	_LIGHTNING lightning	32	6790 3495	0		阴平 阴平.阴上.阳上.阴入	⁵⁵ ¹¹	6790 3495	
333	EasternLuobuohe	LIGHTNING	lightning			l j e ³³	LIGHTNING	411	3491	411	l e ᴰ/⁴	阴入.阳入.*阴平	³³	3491	
334	WesternLuobuohe	LIGHTNING	lightning			l e ³¹	LIGHTNING	411	3491	411	l e ᴰ/⁴	阴平.阳平.阴入.阳入.*阳平	³¹	3491	
335	SouthernGuizhouChuanqiandian	LIGHTNING	lightning			s o ²² + ɭ e ²¹	_LIGHTNING lightning	411	3490 3491	411	ɭ e ⁸/²⁴	阴平 阳入.*阳平	²² ²¹	6055 3491	
336	WesternXiangxi	LIGHTNING	lightning			l j ɑ ²² + s o ³⁵	lightning _LIGHTNING	411	3491 3490	411	ȴ ɑ ⁸/²⁴	0 阴平	²² ³⁵	3491 6055	
337	NorthernQiandong	LIGHTNING	lightning			l j i ³¹ + h o ³³	lightning _LIGHTNING	411	3491 3490	411	ȴ i ⁸/²⁴	阳入.*阳平 阴平.*阴平	³¹ ³³	3491 6055	
338	WesternBaheng	LIGHTNING	lightning			j e ⁴²	LIGHTNING	411	3491			阳入	⁴²	3489	
339	EasternBaheng	LIGHTNING	lightning			ɕ e ³¹ + ⁿp o ³⁵	lightning _LIGHTNING	25	3489 3490			阳去.阳入 阴平.*阴去.*阴入.*阳入	³¹ ³⁵	3489 6055	
340	Jiongnai	LIGHTNING	lightning			h u ⁴⁴ + k l i ⁴⁴ + ⁿk l ai ⁵⁵	_LIGHTNING lightning _lightning	411	3490 3492 3491			阴平.*阴平 阴平.*阴平 阴入	⁴⁴ ⁴⁴ ⁵⁵	6055 3492 3491	
341	Mien	LIGHTNING	lightning			p u ³¹ + l i ŋ ³¹	LIGHTNING lightning	5	10 11	413	g a p ⁷/³	阳平 阳平	³¹ ³¹	6055 3494	
342	KimMun	LIGHTNING	lightning			ˀt əu ⁴² + tʃ ə p ⁴²	_lightning LIGHTNING	413	3493 3489			阴去.阳去.阴入.阳入 阴去.阳去.阴入.阳入	⁴² ⁴²	3493 3489	
343	BiaoMin	LIGHTNING	lightning			ɕ a t ²¹	LIGHTNING	25	3489			阳入	²¹	3489	
344	ZaoMin	LIGHTNING	lightning			ʑ a p ²²	LIGHTNING	413	3489	413	dz j ɛ p ⁸/²⁴	阳去.阳入	²²	3489	
6	WhiteHmong	THUNDER	the thunder			s o ⁵⁵ + q u/w a ⁵³	THUNDER _thunder	24	6057 6061	24	s ɔ ¹	阴平 阳平	⁵⁵ ⁵³	6057 6061	
7	WhiteHmong	THUNDER	the thunder			s o ⁵⁵ + ⁿr o ŋ ³³	THUNDER _thunder	24	6057 6062	0		阴平 阴去	⁵⁵ ³³	6803 6062	
321	EasternLuobuohe	THUNDER	thunder			t ə ⁰/² + s u ³¹	_thunder THUNDER	24	605 6057	24	s u ᴬ/¹	轻声 阴平.阳平.*阳平	⁰/² ³¹	2546 6057	
322	WesternLuobuohe	THUNDER	thunder			ʔ ə ⁰/² + s u ³¹	_thunder THUNDER	24	6060 6057	24	s u ᴬ/¹	轻声 阴平.阳平.阴入.阳入.*阳平	⁰/² ³¹	6060 6057	
323	SouthernGuizhouChuanqiandian	THUNDER	thunder			s o ²²	THUNDER	24	6057	24	s o ¹ᵇ/¹	阴平	²²	6057	
324	WesternXiangxi	THUNDER	thunder			t ɑ ³⁵ + s o ³⁵	_thunder THUNDER	24	6056 6057	24	s o ¹	阴平 阴平	³⁵ ³⁵	2546 6057	
325	NorthernQiandong	THUNDER	thunder			h o ³³	THUNDER	24	6057	24	h o ¹	阴平.*阴平	³³	6057	
326	WesternBaheng	THUNDER	thunder			m o ³⁵	THUNDER	24	6055	24	m o ¹	阴平	³⁵	6055	
327	EasternBaheng	THUNDER	thunder			ʑ e ⁵⁵ + ⁿp o ³⁵	_thunder THUNDER	24	6054 6057	24	m o ¹	阴去.*阴平 阴平.*阴去.*阴入.*阳入	⁵⁵ ³⁵	6054 6055	
328	Jiongnai	THUNDER	thunder			h u ⁴⁴ + j a k ⁵⁵	THUNDER _thunder	24	6057 6058	24	x u ¹	阴平.*阴平 阴入	⁴⁴ ⁵⁵	6057 6058	
329	Mien	THUNDER	thunder			p u ³¹ + ʔ oː ŋ ³³	thunder _THUNDER	45	6055 6057	45	b u ¹	阳平 阴平	³¹ ³³	6055 6057	
330	KimMun	THUNDER	thunder			p a ³³ + g aː ŋ ³⁵	THUNDER _thunder	45	6055 6059	45	b u ⁵	阴平.阳平.*阴平 阴平.阳平.阴入.阳入	³³ ³⁵	6055 6059	
331	BiaoMin	THUNDER	thunder			l ui ³¹	THUNDER	27	6053			阳平.*阳平	³¹	6053	Check cognate set with original book. It seems that mo and su are different cognate sets.
332	ZaoMin	THUNDER	thunder			b j a ⁴⁴ + k u ŋ ⁴⁴	THUNDER _thunder	45	6055 6059	45	b j au ¹	阴平.阳上.阴入.*阴平 阴平.阳上.阴入.*阴平	⁴⁴ ⁴⁴	6055 6059	
8	WhiteHmong	DEW	the dew			l ɯ ³¹	DEW	403	1626	403	l ɯ ⁶/¹³	阳平.阳上.阳去	³¹	1628	
369	EasternLuobuohe	DEW	dew			ʔ u ŋ ³¹ + ʑ o ²⁴	_DEW dew	33	1627 1629			阴平.阳平.*阳平 阴去.阳去.*阴去.*阳去	³¹ ²⁴	757 1629	
370	WesternLuobuohe	DEW	dew			ʔ ə ⁰/² + ʑ o ³⁵ + ʑ o ³⁵	_DEW dew _dew	33	1627 1629 1632			轻声 阴去.阳去.*阴去.*阳去 阴去.阳去.*阴去.*阳去	⁰/² ³⁵ ³⁵	757 1629 1632	
371	SouthernGuizhouChuanqiandian	DEW	dew			p u ³² + l u ¹³	_dew DEW	403	1630 1626	403	l u ⁶/¹³	阴平 阳去.阴入.*阴去.*阳去	³² ¹³	1630 1628	
372	WesternXiangxi	DEW	dew			ʔ u ³⁵ + ɕ ɯ ⁵³	_DEW dew	33	1627 1629			阴平 *阴上.*阳上	³⁵ ⁵³	757 1629	
373	NorthernQiandong	DEW	dew			ʔ ə ³³ + t a ⁴⁴	_DEW dew	41	1627 1631			阴平.*阴平 阴去	³³ ⁴⁴	757 1631	
374	WesternBaheng	DEW	dew			ʔ a ŋ ³⁵ + l u ⁴⁴	_DEW dew	403	1627 1626			阴平 阳去	³⁵ ⁴⁴	757 1628	
375	EasternBaheng	DEW	dew			ʔ a ŋ ³⁵ + l u ³¹	_DEW dew	403	1627 1626			阴平.*阴去.*阴入.*阳入 阳去.阳入	³⁵ ³¹	757 1628	
376	Jiongnai	DEW	dew			ⁿp o ³¹ + ʔ ɒ ŋ ⁴⁴	dew _DEW	40	1630 1627			阳上.*阳平 阴平.*阴平	³¹ ⁴⁴	1630 757	
377	Mien	DEW	dew			b u ŋ ²¹ + s ui ⁵³	dew _DEW	40	1630 1629			阳去 阴上	²¹ ⁵³	1630 1629	
378	KimMun	DEW	dew			k j a ⁵⁵ + ʔ uː m ³⁵	dew _DEW	403	1626 1627			阴上.阳上.阴入.阳入 阴平.阳平.阴入.阳入	⁵⁵ ³⁵	1626 757	
379	BiaoMin	DEW	dew			k l a ³⁵ + ʔ ə n ³³	dew _DEW	403	1626 1627			阴上 阴平.*阴平	³⁵ ³³	1626 757	
380	ZaoMin	DEW	dew			t a ⁴² + m */ə m̩/m ²⁴	DEW _dew	41	1631 1633			阴去.*阴上.*阳上 阴上.*阳平	⁴² ²⁴	1631 1633	
9	WhiteHmong	WIND	the wind			tɕ u/w a ³³	WIND	562	6659	562	c u/w a ⁵	阴去	³³	6659	
345	EasternLuobuohe	WIND	wind			ʔ a ⁰/² + tɕ i ²⁴	_wind WIND	562	6661 6659	562	tɕ i ᶜ/³	轻声 阴去.阳去.*阴去.*阳去	⁰/² ²⁴	6661 6659	
346	WesternLuobuohe	WIND	wind			tɕ i ³⁵	WIND	562	6659	562	tɕ i ᶜ/³	阴去.阳去.*阴去.*阳去	³⁵	6659	
347	SouthernGuizhouChuanqiandian	WIND	wind			p a ŋ ⁵⁵	WIND	42	6662			阴去.*阴平	⁵⁵	6662	Borrowing
348	WesternXiangxi	WIND	wind			c i ⁵³	WIND	562	6659	562	c i ⁵	*阴上.*阳上	⁵³	6659	
349	NorthernQiandong	WIND	wind			tɕ i n ⁴⁴	WIND	562	6659	562	tɕ e n ⁵	阴去	⁴⁴	6659	
350	WesternBaheng	WIND	wind			ʔ a ŋ ³⁵ + tɕ i ⁵⁵	_wind WIND	562	6660 6659	562	tɕ i ⁵	阴平 阴去	³⁵ ⁵⁵	6267 6659	
351	EasternBaheng	WIND	wind			ʔ a ŋ ³⁵ + tɕ i ⁵⁵	_wind WIND	562	6660 6659	562	tɕ i ⁵	阴平.*阴去.*阴入.*阳入 阴去.*阴平	³⁵ ⁵⁵	6267 6659	
352	Jiongnai	WIND	wind			tʃ i ³⁵	WIND	562	6659	562	tʃ i ⁵	阴去.*阴去.*阳去	³⁵	6659	
353	Mien	WIND	wind			dz j au ²⁴	WIND	562	6659	562	dʑ au ⁵	阴去	²⁴	6659	
354	KimMun	WIND	wind			tʃ aːu ⁵⁵	WIND	562	6659	562	ɖ aːu ⁵	阴上.阳上.阴入.阳入	⁵⁵	6659	
355	BiaoMin	WIND	wind			ɕ a ²⁴	WIND	562	6659	562	h j a ⁵	阴去.*阴去.*阳去	²⁴	6659	
356	ZaoMin	WIND	wind			ʑ au ⁴²	WIND	562	6659	562	dz au ⁵	阴去.*阴上.*阳上	⁴²	6659	
10	WhiteHmong	CLOUD	the cloud			h u/w a ⁵⁵	CLOUD	499	1218	862	ɔ ŋ ⁵	阴平	⁵⁵	22	
309	EasternLuobuohe	CLOUD	cloud			ʔ a ⁰/² + t u ŋ ⁵⁵	_cloud CLOUD	31	1218 1219			轻声 阴上.阳上.*阴上.*阳上	⁰/² ⁵⁵	22 1219	
310	WesternLuobuohe	CLOUD	cloud			ʔ ə ⁰/² + t o ŋ ⁵⁵	_cloud CLOUD	31	1218 1219			轻声 阴上.阳上.*阴平.*阴上.*阳上	⁰/² ⁵⁵	22 1219	
311	SouthernGuizhouChuanqiandian	CLOUD	cloud			ʔ a ŋ ⁵⁵	CLOUD	862	1222	862	a ŋ ⁵ᵃ/⁵	阴去.*阴平	⁵⁵	1222	
312	WesternXiangxi	CLOUD	cloud			c ɑ ⁴⁴ + t u ⁵³	_CLOUD cloud	31	1223 1219			阴上.阴入.*阴平 *阴上.*阳上	⁴⁴ ⁵³	1223 1224	
313	NorthernQiandong	CLOUD	cloud			t e n ⁴⁴ + ʔ e n ⁴⁴	_CLOUD cloud	862	1219 1222	862	e n ⁵	阴去 阴去	⁴⁴ ⁴⁴	1219 1222	
314	WesternBaheng	CLOUD	cloud			q a ⁰/³ + t o ŋ ⁵⁵	_cloud CLOUD	31	1223 1219			轻声 阴去	⁰/³ ⁵⁵	1223 1219	
315	EasternBaheng	CLOUD	cloud			h o ³⁵	CLOUD	46	1218			阴平.*阴去.*阴入.*阳入	³⁵	22	
316	Jiongnai	CLOUD	cloud			t j a ŋ ³⁵	CLOUD	48	1219			阴去.*阴去.*阳去	³⁵	1219	
317	Mien	CLOUD	cloud			m əu ²¹	CLOUD	51	1221			阳去	²¹	1221	
318	KimMun	CLOUD	cloud			b a n ⁵⁵	CLOUD	49	1220			阴上.阳上.阴入.阳入	⁵⁵	1220	
319	BiaoMin	CLOUD	cloud			x w a n ²⁴	CLOUD	43	1217			阴去.*阴去.*阳去	²⁴	1217	Borrowing?
320	ZaoMin	CLOUD	cloud			v o n ⁵³	CLOUD	43	1217			阳平.*阴去.*阳去	⁵³	1220	Borrowing?
11	WhiteHmong	RAIN (PRECIPITATION)	the rain			n a ³¹	RAIN	311	4547	311	n a ⁶/¹³	阳平.阳上.阳去	³¹	4547	
357	EasternLuobuohe	RAIN (PRECIPITATION)	rain			ˀʑ o ³³	RAIN	501	4548	311	n o ŋ ᶜ/³	阴入.阳入.*阴平	³³	4548	
358	WesternLuobuohe	RAIN (PRECIPITATION)	rain			n o ³⁵	RAIN	311	4547	311	n o ŋ ᶜ/³	阴去.阳去.*阴去.*阳去	³⁵	4547	
359	SouthernGuizhouChuanqiandian	RAIN (PRECIPITATION)	rain			n ə ŋ ¹³¹	RAIN	311	4547	311	n a ŋ ⁶/¹³	0	¹³¹	4547	
360	WesternXiangxi	RAIN (PRECIPITATION)	rain			n o ŋ ⁴²	RAIN	311	4547	311	n o ŋ ⁶/¹³	0	⁴²	4547	
361	NorthernQiandong	RAIN (PRECIPITATION)	rain			n o ŋ ¹³	RAIN	311	4547	311	n o ŋ ⁶/¹³	阴入.*阴去.*阳去	¹³	4547	
362	WesternBaheng	RAIN (PRECIPITATION)	rain			ʔ a ŋ ³⁵ + m o ŋ ⁵⁵	_rain RAIN	311	4550 4547	311	m õ ⁶/¹³	阴平 阴去	³⁵ ⁵⁵	4550 4547	
363	EasternBaheng	RAIN (PRECIPITATION)	rain			ʔ a ⁰/³ + n u ŋ ³¹	_rain RAIN	311	4546 4547	311	m õ ⁶/¹³	轻声 阳去.阳入	⁰/³ ³¹	4546 4547	
364	Jiongnai	RAIN (PRECIPITATION)	rain			n ə ŋ ¹¹	RAIN	311	4547	311	n ɐ ŋ ⁶/¹³	阳去	¹¹	4547	
365	Mien	RAIN (PRECIPITATION)	rain			b u ŋ ²¹	RAIN	165	4549	165	b l u ŋ ⁶/¹³	阳去	²¹	4549	
366	KimMun	RAIN (PRECIPITATION)	rain			b u ŋ ⁴²	RAIN	165	4549	165	b u ŋ ⁶/¹³	阴去.阳去.阴入.阳入	⁴²	4549	
367	BiaoMin	RAIN (PRECIPITATION)	rain			b l ə ⁴²	RAIN	165	4545	165	b l ə ⁶/¹³	阳上.阳去	⁴²	4545	
368	ZaoMin	RAIN (PRECIPITATION)	rain			b i ŋ ²²	RAIN	165	4549	165	b i ŋ ⁶/¹³	阳去.阳入	²²	4549	
12	WhiteHmong	FIRE	the fire			t aɯ ¹¹	FIRE	226	2250	226	t aɯ ⁴	阴平.阴上.阳上.阴入	¹¹	2250	
393	EasternLuobuohe	FIRE	fire			q o ⁰/⁵ + z o ⁵⁵	_fire FIRE	226	2251 2250	226	ð o ᴮ/²	轻声 阴上.阳上.*阴上.*阳上	⁰/⁵ ⁵⁵	3722 2250	
394	WesternLuobuohe	FIRE	fire			ʔ ə ⁰/² + ð o ⁵⁵	_fire FIRE	226	2252 2250	226	ð o ᴮ/²	轻声 阴上.阳上.*阴平.*阴上.*阳上	⁰/² ⁵⁵	2252 2250	
395	SouthernGuizhouChuanqiandian	FIRE	fire			t ɯ ¹¹	FIRE	226	2250	226	t ɯ ⁴	阳上	¹¹	2250	
396	WesternXiangxi	FIRE	fire			p j i ⁴⁴ + t ə ²²	_fire FIRE	226	2253 2250	226	t ə ⁴	阴上.阴入.*阴平 0	⁴⁴ ²²	2253 2250	
397	NorthernQiandong	FIRE	fire			t u ¹¹	FIRE	226	2250	226	t u ⁴	阳上	¹¹	2250	
398	WesternBaheng	FIRE	fire			q a ⁰/³ + t au ¹¹	_fire FIRE	226	2251 2250	226	t ɤ ⁴	轻声 阳上	⁰/³ ¹¹	3722 2250	
399	EasternBaheng	FIRE	fire			q a ⁰/³ + t eu ¹¹	_fire FIRE	226	2251 2250	226	t ɤ ⁴	轻声 阳上	⁰/³ ¹¹	3722 2250	
400	Jiongnai	FIRE	fire			t au ³¹	FIRE	226	2250	226	t au ⁴	阳上.*阳平	³¹	2250	
401	Mien	FIRE	fire			t əu ²³¹	FIRE	226	2250	226	t ou ⁴	阳上	²³¹	2250	
402	KimMun	FIRE	fire			ˀt əu ³¹	FIRE	226	2250	226	t ɔu ⁴	阴上.阳上.阴去.阳去.*阳平	³¹	2250	
403	BiaoMin	FIRE	fire			t əu ⁴²	FIRE	226	2250	226	t əu ⁴	阳上.阳去	⁴²	2250	
404	ZaoMin	FIRE	fire			t u ⁴⁴	FIRE	226	2250	226	t u ⁴	阴平.阳上.阴入.*阴平	⁴⁴	2250	
13	WhiteHmong	ASH	the ash			tʃʰ au ³⁴	ASH	538	21	538	ʈʂʰ au ³	阴上	³⁴	21	
405	EasternLuobuohe	ASH	ash			ʔ a ⁰/² + tsʰ y ⁵⁵	_ash ASH	538	22 21	538	tsʰ u ᴮ/²	轻声 阴上.阳上.*阴上.*阳上	⁰/² ⁵⁵	22 21	
406	WesternLuobuohe	ASH	ash			ʔ ə ⁰/² + tsʰ u ⁵⁵	_ash ASH	538	22 21	538	tsʰ u ᴮ/²	轻声 阴上.阳上.*阴平.*阴上.*阳上	⁰/² ⁵⁵	22 21	
407	SouthernGuizhouChuanqiandian	ASH	ash			s ɔ ²²	ASH	538	21	538	s ɔ ³ᵇ/³	阴平	²²	21	
408	WesternXiangxi	ASH	ash			ɕ i ⁴⁴	ASH	538	21	538	ɕ i ³	阴上.阴入.*阴平	⁴⁴	21	
409	NorthernQiandong	ASH	ash			q a ³⁵ + ɕʰ u ³⁵	_ash ASH	538	23 21	538	ɕʰ u ³	阴上 阴上	³⁵ ³⁵	23 21	
410	WesternBaheng	ASH	ash			q a ⁰/³ + s i ³¹	_ash ASH	538	23 21	538	ɕ i ³	轻声 阴上	⁰/³ ³¹	23 21	
411	EasternBaheng	ASH	ash			ɕ i ³¹³	ASH	538	21	538	ɕ i ³	阴上.*阴上	³¹³	21	
412	Jiongnai	ASH	ash			θ ei ⁵³	ASH	538	21	538	θ e ³	阴上.*阴上.*阳上	⁵³	21	
413	Mien	ASH	ash			s aːi ⁵³	ASH	538	21	538	ɕ w ai ³	阴上	⁵³	21	
414	KimMun	ASH	ash			ʃ aːi ⁵¹	ASH	538	21	538	s aːi ³	阴上.阳上.*阴上.*阳上	⁵¹	21	
415	BiaoMin	ASH	ash			s ai ³⁵	ASH	538	21	538	s w ai ³	阴上	³⁵	21	
416	ZaoMin	ASH	ash			s oi ²⁴	ASH	538	21	538	s ɔi ³	阴上.*阳平	²⁴	21	
14	WhiteHmong	BURN (SOMETHING)	to burn(1)			ʰl aɯ ³⁴	BURN	53	793			阴上	³⁴	793	
4538	EasternLuobuohe	BURN (SOMETHING)	burn (something)			pʰ z i ⁵⁵	BURN	15	789			阴上.阳上.*阴上.*阳上	⁵⁵	789	
4539	WesternLuobuohe	BURN (SOMETHING)	burn (something)			pʰ j i ⁵⁵	BURN	15	789			阴上.阳上.*阴平.*阴上.*阳上	⁵⁵	789	
4540	SouthernGuizhouChuanqiandian	BURN (SOMETHING)	burn (something)			p æ ²³²	BURN	15	789			阴上	²³²	789	
4541	SouthernGuizhouChuanqiandian	BURN (SOMETHING)	burn (something)			l ə ²³²	BURN	53	793			阴上	²³²	793	
4542	WesternXiangxi	BURN (SOMETHING)	burn (something)			t ei ⁴⁴	BURN	56	792			阴上.阴入.*阴平	⁴⁴	792	
4543	WesternXiangxi	BURN (SOMETHING)	burn (something)			ʔ ɔ ³⁵	BURN	55	794			阴平	³⁵	794	
4544	NorthernQiandong	BURN (SOMETHING)	burn (something)			pʰ i ³⁵	BURN	15	789			阴上	³⁵	789	
4545	WesternBaheng	BURN (SOMETHING)	burn (something)			pʰ o ³¹	BURN	15	789			阴上	³¹	789	
4546	EasternBaheng	BURN (SOMETHING)	burn (something)			q a ŋ ³⁵	BURN	59	790			阴平.*阴去.*阴入.*阳入	³⁵	790	
4547	Jiongnai	BURN (SOMETHING)	burn (something)			ʍ a ⁵³	BURN	61	791			阴上.*阴上.*阳上	⁵³	791	
4548	Mien	BURN (SOMETHING)	burn (something)			p o ⁵³	BURN	15	789	15	p u ³	阴上	⁵³	789	
4549	KimMun	BURN (SOMETHING)	burn (something)			ˀp u ⁵¹	BURN	15	789	15	p u ³	阴上.阳上.*阴上.*阳上	⁵¹	789	
4550	BiaoMin	BURN (SOMETHING)	burn (something)			p au ³⁵	BURN	15	789	15	p au ³	阴上	³⁵	789	
4551	ZaoMin	BURN (SOMETHING)	burn (something)			b u ²⁴	BURN	15	789	15	b u ³	阴上.*阳平	²⁴	789	
15	WhiteHmong	FIREWOOD	the firewood			t aɯ ¹¹	FIREWOOD	63	2270			阴平.阴上.阳上.阴入	¹¹	2270	
2359	EasternLuobuohe	FIREWOOD	firewood			q o ⁰/⁵ + z o ⁵⁵	_firewood FIREWOOD	63	2271 2270			轻声 阴上.阳上.*阴上.*阳上	⁰/⁵ ⁵⁵	1278 2270	
2360	WesternLuobuohe	FIREWOOD	firewood			ʔ ə ⁰/² + ð o ⁵⁵	_firewood FIREWOOD	63	2273 2270			轻声 阴上.阳上.*阴平.*阴上.*阳上	⁰/² ⁵⁵	2273 2270	
2361	SouthernGuizhouChuanqiandian	FIREWOOD	firewood			t ɯ ¹¹	FIREWOOD	63	2270			阳上	¹¹	2270	
