|Pron S|渠們,哪?,他㑲,哪嘞,那,我們,我哋,他們,如儂,麼子,渠俫,我倈,啥子,佢哋,麽子,吾伲|
|Pron CLS|这块,吗个,咋个,哪個,脉個,啷個|
|Pron N|什乇,这疙,哪里,彎面,该里,这里,只里,那,啥人,底所,渠人,啊搭,竹固裏,迄帶,旁單,该搭,哪搭,夫塊,尔搭,哪塊,那塊,伊儂,即带,我人,底儂,瞞人,什物,咯裏,乜嘢,侬家,那里,这?|
|N S S S|石頭子儿|
|N S N|腳頭足夫,日頭窠,妹?人,日頭爺,石頭塊,膝頭骨,外头人,男子客,男?人|
|Pron Pt N|何呢人|
|Pron P CLS|何至個|
|V Adv|撕烂|
|V N N|彈四郎|
|Pron G|他的,怎的|
|Pron S N|佢丁人,𠊎丁人|
|Pron G CLS|他的個|
|Pron C Pron|伊各儂,奴各侬|
|V V V|躺倒起|
|N A|頭那,月亮,月明,月光|
|N Pron N|娃他爸,頭那髮|
|Adv N|将样,点样,酿般,白相,怎样,将其|
|N V|賭打,骹遛|
|N Pt|黑咧|
|N S S|囗囗囗,腳丫子,尾巴|
|Pron S S|我竹固哩|
|Pron S N CLS|我囗囗囗|
|Pron N C Pron|侬家各侬|
|N S N N2|树子叶叶|
|P V|因为|
|P Pt|庸乎|
|V A N|淴冷浴|
|N N Pt|右边拉|
|N N N2|右边边|
|N A S S|月亮巴巴|
|P|宿,着,在|
|A A|汚糟,歯屋歯足,蒌馊,龌龊,厚實,活囗,個郎,瓜肿,囗赖,拉渣,窄狭,埋汰,鏖糟,流疡,腌臢,邋遢|
|Adv S|怎么|
|Adv Pron|些那,如何,怎底|
|Adv Adv2|采翘,纳亨|
|Adv V|和是,相拍|
|V N G|掌櫃的|
|A N S|細伢子,老爺們,老倌子,細人儿|
|A CLS|囗个,该个|
|Pron CLS N N|那個地方,这个地方|
|Pron N N N|这嗒里下|
|Pron V|何至,呢到|
|V N V|打相打|
|N N V|四骹爬|
|Pref N|依爹,依爺,依奶,老爸,老姆,依媽,阿姆,阿爸,依爸,阿奶|
|A N N2|小娃娃|
|A N N|細人家,老娘客|
|N A S|娘老子,伢細子|
|A CLS N|細個崽|
|A CLS S|細個子|
|V A|不賴,不糙,帶勁|
|C|共,搭,跟,同,和,伉|
|V CLS|生個,活個,健個|
|V G|活的|
|V CLS Pt|活個囗|
|A S|生嘅,進兜|
|Pron V N|哪跟前|
|N Pron|里囗|
|CLS V|個到|
|A A N S|大老爺們|
|Pref N N|查某人|
